Date,,Berri1,Berri1 IN,Berri1 OUT,CSC,CSC IN,CSC OUT,Maisonneuve_1,Mais1 IN,Mais1 OUT,Maisonneuve_2,Mais2 IN,Mais2 OUT,Parc,Parc IN,Parc OUT,PierDup,PierDup IN,PierDup OUT,Rachel1,Rachel1 IN,Rachel1 OUT,Saint-Urbain,Saint-Urbain New_IN,Saint-Urbain New_OUT,Totem_Laurier,Totem_Laurier_IN,Totem_Laurier_OUT
05/12/2008,0:00,500,176,324,,,,345,186,159,575,311,264,,,,,,,,,,,,,,,
06/12/2008,0:00,302,152,150,,,,205,107,98,262,144,118,,,,,,,,,,,,,,,
07/12/2008,0:00,233,115,118,,,,127,66,61,160,88,72,,,,,,,,,,,,,,,
08/12/2008,0:00,264,134,130,,,,168,94,74,333,182,151,,,,,,,,,,,,,,,
09/12/2008,0:00,289,94,195,,,,145,79,66,366,198,168,,,,,,,,,,,,,,,
10/12/2008,0:00,76,69,7,,,,43,23,20,80,42,38,,,,,,,,,,,,,,,
11/12/2008,0:00,150,138,12,,,,98,53,45,218,118,100,,,,,,,,,,,,,,,
12/12/2008,0:00,86,24,62,,,,57,32,25,86,47,39,,,,,,,,,,,,,,,
13/12/2008,0:00,87,31,56,,,,55,31,24,92,49,43,,,,,,,,,,,,,,,
14/12/2008,0:00,65,13,52,,,,34,17,17,56,32,24,,,,,,,,,,,,,,,
15/12/2008,0:00,66,57,9,,,,43,23,20,79,42,37,,,,,,,,,,,,,,,
16/12/2008,0:00,48,43,5,,,,24,14,10,59,32,27,,,,,,,,,,,,,,,
17/12/2008,0:00,83,29,54,,,,49,26,23,50,25,25,,,,,,,,,,,,,,,
18/12/2008,0:00,111,48,63,,,,73,39,34,156,84,72,,,,,,,,,,,,,,,
19/12/2008,0:00,84,37,47,,,,57,32,25,103,56,47,,,,,,,,,,,,,,,
20/12/2008,0:00,28,17,11,,,,16,10,6,18,10,8,,,,,,,,,,,,,,,
21/12/2008,0:00,39,7,32,,,,17,8,9,25,15,10,,,,,,,,,,,,,,,
22/12/2008,0:00,40,14,26,,,,24,15,9,58,31,27,,,,,,,,,,,,,,,
23/12/2008,0:00,96,15,81,,,,47,26,21,99,54,45,,,,,,,,,,,,,,,
24/12/2008,0:00,10,3,7,,,,0,0,0,6,6,0,,,,,,,,,,,,,,,
